size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 48, 8,16,  8, 17,   ,combineS, 37,0.23,   0.001,"[3,8,9 1,0,20,19,8,0,8 8 24,15,0 1,9 0,11,1 8,7,9,8 3 9,12,3,21,10,9,8 22,16,17,1,2,4,7,4,4,23,25,18,14 0,2,13 8]","[15,21,4,18,9,4,2,11,0 1,17,9 1,9,14 0,4,19,0,2,7,8,10,8 3 9,3,20,23,8 8 24,1 8,12,16,8,13 8,8 22,9 0,3,1,0,7,25]"
 48, 8,16,  8, 17,   ,  greedy, 37,0.23,   0.006,"[3,8,9,1 0,20,19,8,0,8 8 24,15,0 1,9 0,11,1 8,7,9,8 3 9,12,3,21,10,9,8 22,16,17,1,2,4,7,4,4,23,25,18,14 0,2,13 8]","[15,21,4,18,9,4,2,11,0 1,17,9,1,9,14 0,4,19,0,2,7,8,10,8 3 9,3,20,23,8 8 24,1 8,12,16,8,13 8,8 22,9 0,3,1 0,7,25]"
 48, 8,16,  8, 17,  0,     pso, 37,0.23,   3.197,"[3,8,9 1,0,20,19,8,0,8 8 24,15,0 1,9 0,11,1 8,7,9,8 3 9,12,3,21,10,9,8 22,16,17,1,2,4,7,4,4,23,25,18,14 0,2,13 8]","[15,21,4,18,9,4,2,11,0 1,17,9 1,9,14 0,4,19,0,2,7,8,10,8 3 9,3,20,23,8 8 24,1 8,12,16,8,13 8,8 22,9 0,3,1,0,7,25]"
 62, 7,30,  7,  9,   , combine, 55,0.11,   0.001,"[4,31,15,5 4,3,5,5,6,6,6,3 4,4,13,32,1,3,28,19,5,14,4,0,7,2,4,0 0,26,34,11,3,20,33,5 17,18,23,9,5,29,25,1 5,8,21,2,0,30,6,2,16,0,2,10,22,24,27 35 36,12]","[3 4,30,33,1 5,1,21,16,29,19,0,27 35 36,2,7,12,6,28,0 0,5,18,5,3,32,23,13,31,6,14,22,4,34,0,5 4,20,5,3,4,25,0,5,2,2,6,4,2,5 17,9,8,15,3,6,26,24,4,11,10]"
 62, 7,30,  7,  9,   ,combineS, 55,0.11,   0.001,"[4,31,15,5 4,3,5,5,6,6,6,3 4,4,13,32,1,3,28,19,5,14,4,0,7,2,4,0 0,26,34,11,3,20,33,5 17,18,23,9,5,29,25,1 5,8,21,2,0,30,6,2,16,0,2,10,22,24,27 35 36,12]","[3 4,30,33,1 5,1,21,16,29,19,0,27 35 36,2,7,12,6,28,0 0,5,18,5,3,32,23,13,31,6,14,22,4,34,0,5 4,20,5,3,4,25,0,5,2,2,6,4,2,5 17,9,8,15,3,6,26,24,4,11,10]"
 62, 7,30,  7,  9,   ,  greedy, 55,0.11,   0.016,"[4,31,15,5 4,3,5,5,6,6,6,3 4,4,13,32,1,3,28,19,5,14,4,0,7,2,4,0 0,26,34,11,3,20,33,5 17,18,23,9,5,29,25,1 5,8,21,2,0,30,6,2,16,0,2,10,22,24,27 35 36,12]","[3 4,30,33,1 5,1,21,16,29,19,0,27 35 36,2,7,12,6,28,0 0,5,18,5,3,32,23,13,31,6,14,22,4,34,0,5 4,20,5,3,4,25,0,5,2,2,6,4,2,5 17,9,8,15,3,6,26,24,4,11,10]"
 62, 7,30,  7,  9,  0,     pso, 55,0.11,   1.316,"[4,31,15,5 4,3,5,5,6,6,6,3 4,4,13,32,1,3,28,19,5,14,4,0,7,2,4,0 0,26,34,11,3,20,33,5 17,18,23,9,5,29,25,1 5,8,21,2,0,30,6,2,16,0,2,10,22,24,27 35 36,12]","[3 4,30,33,1 5,1,21,16,29,19,0,27 35 36,2,7,12,6,28,0 0,5,18,5,3,32,23,13,31,6,14,22,4,34,0,5 4,20,5,3,4,25,0,5,2,2,6,4,2,5 17,9,8,15,3,6,26,24,4,11,10]"
 69, 9,28,  5,  9,   , combine, 62,0.10,   0.001,"[1,28,33,36,0 6,5,5,0,8,22,6,7,30,15,7,17 1,34,2,9,7,21,6,7 4,4,14,35,3,23,12,6,27,1,4,24,25,7,4,10,2,18,2,3 3,16,1 8,8,3 5,20,26,6 3,8,2,31,11,32,0,29,8,19,0,1,4,13]","[0,15,0,20,2,16,36,1,7 4,5,4,34,6,8,17 1,12,7,26,8,11,4,0,13,7,18,22,8,21,27,5,2,0 6,14,3 3,10,3 5,6,1 8,2,1,30,8,4,9,35,7,28,3,6 3,24,29,33,19,23,25,31,32,4,2,7,1,6]"
 69, 9,28,  5,  9,   ,combineS, 62,0.10,   0.001,"[1,28,33,36,0 6,5,5,0,8,22,6,7,30,15,7,17 1,34,2,9,7,21,6,7 4,4,14,35,3,23,12,6,27,1,4,24,25,7,4,10,2,18,2,3 3,16,1 8,8,3 5,20,26,6 3,8,2,31,11,32,0,29,8,19,0,1,4,13]","[0,15,0,20,2,16,36,1,7 4,5,4,34,6,8,17 1,12,7,26,8,11,4,0,13,7,18,22,8,21,27,5,2,0 6,14,3 3,10,3 5,6,1 8,2,1,30,8,4,9,35,7,28,3,6 3,24,29,33,19,23,25,31,32,4,2,7,1,6]"
 69, 9,28,  5,  9,   ,  greedy, 62,0.10,   0.022,"[1,28,33,36,0 6,5,5,0,8,22,6,7,30,15,7,17 1,34,2,9,7,21,6,7 4,4,14,35,3,23,12,6,27,1,4,24,25,7,4,10,2,18,2,3 3,16,1,8,8,3 5,20,26,6 3,8 2,31,11,32,0,29,8,19,0,1,4,13]","[0,15,0,20,2,16,36,1,7 4,5,4,34,6,8,17 1,12,7,26,8,11,4,0,13,7,18,22,8,21,27,5,2,0 6,14,3 3,10,3 5,6,1,8 2,1,30,8,4,9,35,7,28,3,6 3,24,29,33,19,23,25,31,32,4,2,7,1,6]"
 69, 9,28,  5,  9,  0,     pso, 62,0.10,   1.785,"[1,28,33,36,0 6,5,5,0,8,22,6,7,30,15,7,17 1,34,2,9,7,21,6,7 4,4,14,35,3,23,12,6,27,1,4,24,25,7,4,10,2,18,2,3 3,16,1 8,8,3 5,20,26,6 3,8,2,31,11,32,0,29,8,19,0,1,4,13]","[0,15,0,20,2,16,36,1,7 4,5,4,34,6,8,17 1,12,7,26,8,11,4,0,13,7,18,22,8,21,27,5,2,0 6,14,3 3,10,3 5,6,1 8,2,1,30,8,4,9,35,7,28,3,6 3,24,29,33,19,23,25,31,32,4,2,7,1,6]"
 64, 8,28,  6, 10,   , combine, 56,0.13,   0.001,"[16,13 19,3 7,29,17,4,4,27,5,14,5,2,6,11,2,22,1,12,0,2,1,3 2,20,3,34,10,7,21,7 7,18,9,25,24,8,15,3 7,4,6 2,6,1 7,33,23,32,3,30,5,5,1,26,35,1,6 31,0,28,6,1]","[5,15,1,18,30,0,6 31,4,33,3 7,9,26,20,23,2,3,11,6 2,28,7 7,27,22,12,1,1,5,3,8,35,2,7,13 19,17,21,1,34,2,5,29,16,4,1,14,4,1 7,6,32,24,3 2,5,6,3 7,25,6,10,0]"
 64, 8,28,  6, 10,   ,combineS, 56,0.13,   0.001,"[16,13 19,3 7,29,17,4,4,27,5,14,5,2,6,11,2,22,1,12,0,2,1,3 2,20,3,34,10,7,21,7 7,18,9,25,24,8,15,3 7,4,6 2,6,1 7,33,23,32,3,30,5,5,1,26,35,1,6 31,0,28,6,1]","[5,15,1,18,30,0,6 31,4,33,3 7,9,26,20,23,2,3,11,6 2,28,7 7,27,22,12,1,1,5,3,8,35,2,7,13 19,17,21,1,34,2,5,29,16,4,1,14,4,1 7,6,32,24,3 2,5,6,3 7,25,6,10,0]"
