size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right,pair
18,3,8,5,6,0,pso,14,0.23529411764705882,0.693,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1 0,4,1,0,8,2,0 3,9,0]",4 0 5 0 3 8 0 2 2 7 1 0 1 2 0 10 9 62 10 2 7 6 0 5 1 0 4 1 0 8 2 0 3 9 0
18,3,8,5,6,0,psoPure,14,0.23529411764705882,0.679,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1,0,4,1 0,8,2,0 3,9,0]",4 0 5 0 3 8 0 2 2 7 1 0 1 2 0 10 9 62 10 2 7 6 0 5 1 0 4 1 0 8 2 0 3 9 0
18,3,8,5,6,0,psoComb,14,0.23529411764705882,1.672,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1 0,4,1,0,8,2,0 3,9,0]",4 0 5 0 3 8 0 2 2 7 1 0 1 2 0 10 9 62 10 2 7 6 0 5 1 0 4 1 0 8 2 0 3 9 0
18,3,8,5,6,,FPT,12,0.35294117647058826,0.283,,,4 0 5 0 3 8 0 2 2 7 1 0 1 2 0 10 9 62 10 2 7 6 0 5 1 0 4 1 0 8 2 0 3 9 0
18,2,8,5,6,,combine,16,0.11764705882352941,0.0,"[0,0,7,9,5,8,0,6,2,10,2 0,2 2,4,0,3,2]","[9,0,5,0,10,3,0,2 2,7,6,0,2,4,2 0,8,2]",0 0 7 9 5 8 0 6 2 10 2 0 2 2 4 0 3 29 0 5 0 10 3 0 2 2 7 6 0 2 4 2 0 8 2
18,2,8,5,6,,combineS,16,0.11764705882352941,0.0,"[0,0,7,9,5,8,0,6,2,10,2 0,2,2 4,0,3,2]","[9,0,5,0,10,3,0,2,2,7,6,0,2 4,2 0,8,2]",0 0 7 9 5 8 0 6 2 10 2 0 2 2 4 0 3 29 0 5 0 10 3 0 2 2 7 6 0 2 4 2 0 8 2
18,2,8,5,6,,greedy,16,0.11764705882352941,0.001,"[0,0,7,9,5,8,0,6,2,10,2,0 2 2,4,0,3,2]","[9,0,5,0,10,3,0 2 2,7,6,0,2,4,2,0,8,2]",0 0 7 9 5 8 0 6 2 10 2 0 2 2 4 0 3 29 0 5 0 10 3 0 2 2 7 6 0 2 4 2 0 8 2
18,2,8,5,6,0,pso,16,0.11764705882352941,0.346,"[0,0,7,9,5,8,0,6,2,10,2,0 2 2,4,0,3,2]","[9,0,5,0,10,3,0 2 2,7,6,0,2,4,2,0,8,2]",0 0 7 9 5 8 0 6 2 10 2 0 2 2 4 0 3 29 0 5 0 10 3 0 2 2 7 6 0 2 4 2 0 8 2
18,2,8,5,6,0,psoPure,16,0.11764705882352941,0.357,"[0,0,7,9,5,8,0,6,2,10,2,0 2,2 4,0,3,2]","[9,0,5,0,10,3,0 2,2,7,6,0,2 4,2,0,8,2]",0 0 7 9 5 8 0 6 2 10 2 0 2 2 4 0 3 29 0 5 0 10 3 0 2 2 7 6 0 2 4 2 0 8 2
18,2,8,5,6,0,psoComb,16,0.11764705882352941,1.549,"[0,0,7,9,5,8,0,6,2,10,2,0 2 2,4,0,3,2]","[9,0,5,0,10,3,0 2 2,7,6,0,2,4,2,0,8,2]",0 0 7 9 5 8 0 6 2 10 2 0 2 2 4 0 3 29 0 5 0 10 3 0 2 2 7 6 0 2 4 2 0 8 2
18,2,8,5,6,,FPT,15,0.17647058823529413,7.553,,,0 0 7 9 5 8 0 6 2 10 2 0 2 2 4 0 3 29 0 5 0 10 3 0 2 2 7 6 0 2 4 2 0 8 2
18,3,2,9,40,,combine,12,0.35294117647058826,0.0,"[0 1,0 1,0,0 1 1,2,3,1 2,4,1 1,1,2,1]","[1,0 1 1,0,2,4,2,1 1,0 1,1,1 2,0 1,3]",0 1 0 1 0 0 1 1 2 3 1 2 4 1 1 1 2 11 0 1 1 0 2 4 2 1 1 0 1 1 1 2 0 1 3
18,3,2,9,40,,combineS,11,0.4117647058823529,0.0,"[0 1,0 1,0,0 1 1,2,3,1,2 4,1 1,1 2,1]","[1,0 1 1,0,2 4,2,1 1,0 1,1,1 2,0 1,3]",0 1 0 1 0 0 1 1 2 3 1 2 4 1 1 1 2 11 0 1 1 0 2 4 2 1 1 0 1 1 1 2 0 1 3
18,3,2,9,40,,greedy,11,0.4117647058823529,0.0,"[0,1 0 1,0,0 1,1,2,3,1,2 4,1 1 1 2,1]","[1 0 1,1,0,2 4,2,1,1,0,1 1 1 2,0 1,3]",0 1 0 1 0 0 1 1 2 3 1 2 4 1 1 1 2 11 0 1 1 0 2 4 2 1 1 0 1 1 1 2 0 1 3
18,3,2,9,40,1,pso,10,0.47058823529411764,3.946,"[0 1,0,1 0,0 1 1,2,3,1,2 4,1 1 1 2,1]","[1,0 1 1,0,2 4,2,1,1 0,1 1 1 2,0 1,3]",0 1 0 1 0 0 1 1 2 3 1 2 4 1 1 1 2 11 0 1 1 0 2 4 2 1 1 0 1 1 1 2 0 1 3
18,3,2,9,40,0,psoPure,10,0.47058823529411764,4.075,"[0 1,0,1 0,0 1 1,2,3,1,2 4,1 1 1 2,1]","[1,0 1 1,0,2 4,2,1,1 0,1 1 1 2,0 1,3]",0 1 0 1 0 0 1 1 2 3 1 2 4 1 1 1 2 11 0 1 1 0 2 4 2 1 1 0 1 1 1 2 0 1 3
18,3,2,9,40,1,psoComb,10,0.47058823529411764,4.777,"[0 1,0,1 0,0 1 1,2,3,1,2 4,1 1 1 2,1]","[1,0 1 1,0,2 4,2,1,1 0,1 1 1 2,0 1,3]",0 1 0 1 0 0 1 1 2 3 1 2 4 1 1 1 2 11 0 1 1 0 2 4 2 1 1 0 1 1 1 2 0 1 3
18,3,2,9,40,,FPT,10,0.47058823529411764,10.434,,,0 1 0 1 0 0 1 1 2 3 1 2 4 1 1 1 2 11 0 1 1 0 2 4 2 1 1 0 1 1 1 2 0 1 3
18,4,5,6,6,,combine,14,0.23529411764705882,0.0,"[1,0 2,4,3,1 2,6 0,1,2,8 1,5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1,5,3,8 1,1]",1 0 2 4 3 1 2 6 0 1 2 8 1 5 1 3 1 73 0 2 2 1 4 6 0 7 1 2 1 1 5 3 8 1 1
18,4,5,6,6,,combineS,14,0.23529411764705882,0.0,"[1,0 2,4,3,1 2,6 0,1,2,8 1,5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1,5,3,8 1,1]",1 0 2 4 3 1 2 6 0 1 2 8 1 5 1 3 1 73 0 2 2 1 4 6 0 7 1 2 1 1 5 3 8 1 1
18,4,5,6,6,,greedy,14,0.23529411764705882,0.001,"[1,0 2,4,3,1,2,6 0,1 2,8 1,5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1,5,3,8 1,1]",1 0 2 4 3 1 2 6 0 1 2 8 1 5 1 3 1 73 0 2 2 1 4 6 0 7 1 2 1 1 5 3 8 1 1
18,4,5,6,6,0,pso,14,0.23529411764705882,0.711,"[1,0 2,4,3,1 2,6 0,1,2,8 1,5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1,5,3,8 1,1]",1 0 2 4 3 1 2 6 0 1 2 8 1 5 1 3 1 73 0 2 2 1 4 6 0 7 1 2 1 1 5 3 8 1 1
