size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,exact,left,right
 31, 8,11,  4,  7,   ,combineS, 26,0.17,   0.000,N,"[12,2,18,9,7,3,4,11,10 5,8,0,0 17,3,16,1,1,2 3,5,5,1,13,14 8,3 7,15,19,4]","[1,4,0,1,3,5,8,19,11,15,3,2 3,18,0 17,7,1,9,12,14 8,4,10 5,2,16,5,13,3 7]"
 31, 8,11,  4,  7,   ,  greedy, 26,0.17,   0.002,N,"[12,2,18,9,7,3,4,11,10 5,8,0,0 17,3,16,1,1,2,3 5,5,1,13,14 8,3 7,15,19,4]","[1,4,0,1,3 5,8,19,11,15,3,2,3,18,0 17,7,1,9,12,14 8,4,10 5,2,16,5,13,3 7]"
 31, 8,11,  4,  7,  0,     pso, 26,0.17,   0.898,N,"[12,2,18,9,7,3,4,11,10 5,8,0,0 17,3,16,1,1,2 3,5,5,1,13,14 8,3 7,15,19,4]","[1,4,0,1,3,5,8,19,11,15,3,2 3,18,0 17,7,1,9,12,14 8,4,10 5,2,16,5,13,3 7]"
 31, 8,11,  4,  7,  0, psoPure, 26,0.17,   0.895,N,"[12,2,18,9,7,3,4,11,10,5 8,0,0 17,3,16,1,1,2 3,5,5,1,13,14 8,3 7,15,19,4]","[1,4,0,1,3,5 8,19,11,15,3,2 3,18,0 17,7,1,9,12,14 8,4,10,5,2,16,5,13,3 7]"
 31, 8,11,  4,  7,  0, psoComb, 26,0.17,   1.891,N,"[12,2,18,9,7,3,4,11,10 5,8,0,0 17,3,16,1,1,2 3,5,5,1,13,14 8,3 7,15,19,4]","[1,4,0,1,3,5,8,19,11,15,3,2 3,18,0 17,7,1,9,12,14 8,4,10 5,2,16,5,13,3 7]"
 31, 8,11,  4,  7,   ,     FPT, 26,0.17,   0.217,Y,,
 31, 8,10,  4,  3,   , combine, 28,0.10,   0.000,N,"[10,1,18,0,6,0,3,13,7,9,19,15,2,12,6 14,2,6,7,2,3,1,6 9,9 11,16,5,5,2,17]","[12,2,9,2,13,6,19,16,6,6 14,17,2,7,1,3,5,15,6 9,18,10,2,5,9 11,0,7,0,1,3]"
 31, 8,10,  4,  3,   ,combineS, 28,0.10,   0.000,N,"[10,1,18,0,6,0,3,13,7,9,19,15,2,12,6 14,2,6,7,2,3,1,6 9,9 11,16,5,5,2,17]","[12,2,9,2,13,6,19,16,6,6 14,17,2,7,1,3,5,15,6 9,18,10,2,5,9 11,0,7,0,1,3]"
 31, 8,10,  4,  3,   ,  greedy, 28,0.10,   0.002,N,"[10,1,18,0,6,0,3,13,7,9,19,15,2,12,6 14,2,6,7,2,3,1,6 9,9 11,16,5,5,2,17]","[12,2,9,2,13,6,19,16,6,6 14,17,2,7,1,3,5,15,6 9,18,10,2,5,9 11,0,7,0,1,3]"
 31, 8,10,  4,  3,  0,     pso, 28,0.10,   0.297,N,"[10,1,18,0,6,0,3,13,7,9,19,15,2,12,6 14,2,6,7,2,3,1,6 9,9 11,16,5,5,2,17]","[12,2,9,2,13,6,19,16,6,6 14,17,2,7,1,3,5,15,6 9,18,10,2,5,9 11,0,7,0,1,3]"
 31, 8,10,  4,  3,  0, psoPure, 28,0.10,   0.295,N,"[10,1,18,0,6,0,3,13,7,9,19,15,2,12,6 14,2,6,7,2,3,1,6 9,9 11,16,5,5,2,17]","[12,2,9,2,13,6,19,16,6,6 14,17,2,7,1,3,5,15,6 9,18,10,2,5,9 11,0,7,0,1,3]"
 31, 8,10,  4,  3,  0, psoComb, 28,0.10,   1.379,N,"[10,1,18,0,6,0,3,13,7,9,19,15,2,12,6 14,2,6,7,2,3,1,6 9,9 11,16,5,5,2,17]","[12,2,9,2,13,6,19,16,6,6 14,17,2,7,1,3,5,15,6 9,18,10,2,5,9 11,0,7,0,1,3]"
 31, 8,10,  4,  3,   ,     FPT, 28,0.10,   0.895,Y,,
 31, 7, 8,  5, 10,   , combine, 26,0.17,   0.000,N,"[4,9,6 1,3,4,5,8,13,6 2,1,10,3,5,2,3 6,6,3,3,12,5,14,0 7,2 1,0,6,11]","[6 2,12,11,5,3,2,4,10,0,8,3,13,3 6,5,6,0 7,14,3,6 1,9,4,3,6,2 1,5,1]"
 31, 7, 8,  5, 10,   ,combineS, 26,0.17,   0.000,N,"[4,9,6 1,3,4,5,8,13,6 2,1,10,3,5,2,3 6,6,3,3,12,5,14,0 7,2 1,0,6,11]","[6 2,12,11,5,3,2,4,10,0,8,3,13,3 6,5,6,0 7,14,3,6 1,9,4,3,6,2 1,5,1]"
 31, 7, 8,  5, 10,   ,  greedy, 26,0.17,   0.002,N,"[4,9,6 1,3,4,5,8,13,6 2 1,10,3,5,2,3 6,6,3,3,12,5,14,0 7,2,1,0,6,11]","[6,2,12,11,5,3,2,4,10,0,8,3,13,3 6,5,6,0 7,14,3,6 1,9,4,3,6 2 1,5,1]"
 31, 7, 8,  5, 10,  0,     pso, 26,0.17,   1.106,N,"[4,9,6 1,3,4,5,8,13,6 2 1,10,3,5,2,3 6,6,3,3,12,5,14,0 7,2,1,0,6,11]","[6,2,12,11,5,3,2,4,10,0,8,3,13,3 6,5,6,0 7,14,3,6 1,9,4,3,6 2 1,5,1]"
 31, 7, 8,  5, 10,  0, psoPure, 26,0.17,   1.107,N,"[4,9,6 1,3,4,5,8,13,6 2,1,10,3,5,2,3 6,6,3,3,12,5,14,0 7,2 1,0,6,11]","[6 2,12,11,5,3,2,4,10,0,8,3,13,3 6,5,6,0 7,14,3,6 1,9,4,3,6,2 1,5,1]"
 31, 7, 8,  5, 10,  0, psoComb, 26,0.17,   2.360,N,"[4,9,6 1,3,4,5,8,13,6 2 1,10,3,5,2,3 6,6,3,3,12,5,14,0 7,2,1,0,6,11]","[6,2,12,11,5,3,2,4,10,0,8,3,13,3 6,5,6,0 7,14,3,6 1,9,4,3,6 2 1,5,1]"
 31, 7, 8,  5, 10,   ,     FPT, 25,0.20,  53.377,Y,,
 31, 7, 6,  5, 12,   , combine, 26,0.17,   0.000,N,"[2,0,1,13,9,14,2 4,2 4,9 5,10,5,11,5,0,4,0,4,12,0 7,9,7,7,15,1,4 9,1]","[0,2,9,9 5,1,10,15,0 7,5,1,7,4,13,4,1,14,0,5,2 4,11,2 4,12,4 9,0,7,9]"
 31, 7, 6,  5, 12,   ,combineS, 27,0.13,   0.001,N,"[2,0,1,13,9,14,2 4,2,4 9,5,10,5,11,5,0,4,0,4 12,0 7,9,7,7,15,1,4,9,1]","[0,2,9,9,5,1,10,15,0 7,5,1,7,4,13,4,1,14,0,5,2 4,11,2,4 12,4 9,0,7,9]"
 31, 7, 6,  5, 12,   ,  greedy, 25,0.20,   0.002,N,"[2,0,1,13,9,14,2 4,2,4,9 5,10,5,11,5,0,4,0,4 12,0 7 9,7,7,15,1,4 9,1]","[0,2,9,9 5,1,10,15,0,7,5,1,7,4,13,4,1,14,0,5,2 4,11,2,4 12,4 9,0 7 9]"
 31, 7, 6,  5, 12,  0,     pso, 25,0.20,   1.346,N,"[2,0,1,13,9,14,2 4,2 4,9 5,10,5,11,5,0,4,0,4,12,0 7 9,7,7,15,1,4 9,1]","[0,2,9,9 5,1,10,15,0,7,5,1,7,4,13,4,1,14,0,5,2 4,11,2 4,12,4 9,0 7 9]"
 31, 7, 6,  5, 12,  0, psoPure, 25,0.20,   1.319,N,"[2,0,1,13,9,14,2 4,2 4,9 5,10,5,11,5,0,4,0,4,12,0 7 9,7,7,15,1,4 9,1]","[0,2,9,9 5,1,10,15,0,7,5,1,7,4,13,4,1,14,0,5,2 4,11,2 4,12,4 9,0 7 9]"
 31, 7, 6,  5, 12,  0, psoComb, 25,0.20,   2.626,N,"[2,0,1,13,9,14,2 4,2 4,9 5,10,5,11,5,0,4,0,4,12,0 7 9,7,7,15,1,4 9,1]","[0,2,9,9 5,1,10,15,0,7,5,1,7,4,13,4,1,14,0,5,2 4,11,2 4,12,4 9,0 7 9]"
 31, 7, 6,  5, 12,   ,     FPT, 24,0.23, 127.811,Y,,
 31, 9, 3,  4, 10,   , combine, 23,0.27,   0.000,N,"[8,3,11,6,8,6,1 3 7,0,9,6 2,0 7,0 5,12,0,8,5,7 6,3,1,10,2,7 9,2 9]","[1,1 3 7,8,0,2,12,2 9,10,0 5,7 9,3,9,3,0 7,8,7 6,11,8,0,6,6 2,5,6]"
 31, 9, 3,  4, 10,   ,combineS, 23,0.27,   0.000,N,"[8,3,11,6,8,6,1 3 7,0,9,6 2,0 7,0 5,12,0,8,5,7 6,3,1,10,2,7 9,2 9]","[1,1 3 7,8,0,2,12,2 9,10,0 5,7 9,3,9,3,0 7,8,7 6,11,8,0,6,6 2,5,6]"
 31, 9, 3,  4, 10,   ,  greedy, 23,0.27,   0.002,N,"[8,3,11,6,8,6,1 3 7,0,9,6 2,0 7,0 5,12,0,8,5,7 6,3,1,10,2,7 9,2 9]","[1,1 3 7,8,0,2,12,2 9,10,0 5,7 9,3,9,3,0 7,8,7 6,11,8,0,6,6 2,5,6]"
 31, 9, 3,  4, 10,  0,     pso, 23,0.27,   1.486,N,"[8,3,11,6,8,6,1 3 7,0,9,6 2,0 7,0 5,12,0,8,5,7 6,3,1,10,2,7 9,2 9]","[1,1 3 7,8,0,2,12,2 9,10,0 5,7 9,3,9,3,0 7,8,7 6,11,8,0,6,6 2,5,6]"
 31, 9, 3,  4, 10,  0, psoPure, 23,0.27,   1.481,N,"[8,3,11,6,8,6,1 3 7,0,9,6 2,0 7,0 5,12,0,8,5,7 6,3,1,10,2,7 9,2 9]","[1,1 3 7,8,0,2,12,2 9,10,0 5,7 9,3,9,3,0 7,8,7 6,11,8,0,6,6 2,5,6]"
 31, 9, 3,  4, 10,  0, psoComb, 23,0.27,   2.727,N,"[8,3,11,6,8,6,1 3 7,0,9,6 2,0 7,0 5,12,0,8,5,7 6,3,1,10,2,7 9,2 9]","[1,1 3 7,8,0,2,12,2 9,10,0 5,7 9,3,9,3,0 7,8,7 6,11,8,0,6,6 2,5,6]"
 31, 9, 3,  4, 10,   ,     FPT, 23,0.27,  31.258,Y,,
 31, 4, 8,  7, 16,   , combine, 25,0.20,   0.000,N,"[1,4 2,0 10,11,1,6,1,7,8,2 1,4 0,0,4,1 0 0,4,0,9,2,2,0,5,2,1,12,4]","[4,4,9,1,1,1,2 1,2,11,5,6,4 0,0 10,8,4,7,0,2,4 2,1 0 0,1,0,2,12,0]"
 31, 4, 8,  7, 16,   ,combineS, 25,0.20,   0.001,N,"[1,4 2,0 10,11,1,6,1,7,8,2 1,4 0,0,4,1 0 0,4,0,9,2,2,0,5,2,1,12,4]","[4,4,9,1,1,1,2 1,2,11,5,6,4 0,0 10,8,4,7,0,2,4 2,1 0 0,1,0,2,12,0]"
 31, 4, 8,  7, 16,   ,  greedy, 25,0.20,   0.002,N,"[1,4 2,0,10,11,1,6,1,7,8,2 1,4 0 0,4,1 0 0,4,0,9,2,2,0,5,2,1,12,4]","[4,4,9,1,1,1,2 1,2,11,5,6,4 0 0,10,8,4,7,0,2,4 2,1 0 0,1,0,2,12,0]"
 31, 4, 8,  7, 16,  0,     pso, 25,0.20,   1.868,N,"[1,4 2,0,10,11,1,6,1,7,8,2 1,4 0 0,4,1 0 0,4,0,9,2,2,0,5,2,1,12,4]","[4,4,9,1,1,1,2 1,2,11,5,6,4 0 0,10,8,4,7,0,2,4 2,1 0 0,1,0,2,12,0]"
 31, 4, 8,  7, 16,  0, psoPure, 25,0.20,   1.968,N,"[1,4,2,0 10,11,1,6,1,7,8,2 1,4,0 0,4,1 0,0,4 0,9,2,2,0,5,2 1,12,4]","[4,4,9,1,1,1,2 1,2,11,5,6,4 0,0 10,8,4,7,0,2,4,2 1,0 0,1 0,2,12,0]"
 31, 4, 8,  7, 16,  0, psoComb, 25,0.20,   3.153,N,"[1,4 2,0,10,11,1,6,1,7,8,2 1,4 0 0,4,1 0 0,4,0,9,2,2,0,5,2,1,12,4]","[4,4,9,1,1,1,2 1,2,11,5,6,4 0 0,10,8,4,7,0,2,4 2,1 0 0,1,0,2,12,0]"
 31, 4, 8,  7, 16,   ,     FPT, 25,0.20,3600.000,N,,
 31, 4,14,  6,  8,   , combine, 27,0.13,   0.000,N,"[5,1,11,2 3,13,4,3,10,7,2,14,0,8,0,17,3,16,3 0,1 1,2 1,3,12,1,15,9,6,1]","[10,4,1,0,1 1,1,17,14,2 3,2 1,16,15,6,7,3,11,12,3 0,9,3,1,8,13,2,5,3,0]"
 31, 4,14,  6,  8,   ,combineS, 27,0.13,   0.000,N,"[5,1,11,2 3,13,4,3,10,7,2,14,0,8,0,17,3,16,3 0,1 1,2 1,3,12,1,15,9,6,1]","[10,4,1,0,1 1,1,17,14,2 3,2 1,16,15,6,7,3,11,12,3 0,9,3,1,8,13,2,5,3,0]"
 31, 4,14,  6,  8,   ,  greedy, 27,0.13,   0.002,N,"[5,1,11,2 3,13,4,3,10,7,2,14,0,8,0,17,3,16,3,0 1 1,2 1,3,12,1,15,9,6,1]","[10,4,1,0 1 1,1,17,14,2 3,2 1,16,15,6,7,3,11,12,3,0,9,3,1,8,13,2,5,3,0]"
 31, 4,14,  6,  8,  0,     pso, 27,0.13,   0.669,N,"[5,1,11,2 3,13,4,3,10,7,2,14,0,8,0,17,3,16,3,0 1 1,2 1,3,12,1,15,9,6,1]","[10,4,1,0 1 1,1,17,14,2 3,2 1,16,15,6,7,3,11,12,3,0,9,3,1,8,13,2,5,3,0]"
 31, 4,14,  6,  8,  0, psoPure, 27,0.13,   0.659,N,"[5,1,11,2 3,13,4,3,10,7,2,14,0,8,0,17,3,16,3 0,1 1,2 1,3,12,1,15,9,6,1]","[10,4,1,0,1 1,1,17,14,2 3,2 1,16,15,6,7,3,11,12,3 0,9,3,1,8,13,2,5,3,0]"
 31, 4,14,  6,  8,  0, psoComb, 27,0.13,   1.827,N,"[5,1,11,2 3,13,4,3,10,7,2,14,0,8,0,17,3,16,3,0 1 1,2 1,3,12,1,15,9,6,1]","[10,4,1,0 1 1,1,17,14,2 3,2 1,16,15,6,7,3,11,12,3,0,9,3,1,8,13,2,5,3,0]"
 31, 4,14,  6,  8,   ,     FPT, 27,0.13, 100.110,Y,,
 31, 6, 6,  5, 14,   , combine, 23,0.27,   0.000,N,"[0,10 3,2,7,0,6,4,4,3 1,3,0,9,1 3,2 1,5,8,1,2,3 4 5,5,11,0 5,2 5]","[5,10 3,3 1,7,1 3,3 4 5,2,4,0,2 5,1,0 5,6,0,2,4,9,8,5,0,11,3,2 1]"
 31, 6, 6,  5, 14,   ,combineS, 23,0.27,   0.000,N,"[0,10 3,2,7,0,6,4,4,3 1,3,0,9,1 3,2 1,5,8,1,2,3 4 5,5,11,0 5,2 5]","[5,10 3,3 1,7,1 3,3 4 5,2,4,0,2 5,1,0 5,6,0,2,4,9,8,5,0,11,3,2 1]"
 31, 6, 6,  5, 14,   ,  greedy, 23,0.27,   0.002,N,"[0,10 3,2,7,0,6,4,4,3 1,3,0,9,1,3 2 1,5,8,1,2,3 4 5,5,11,0 5,2 5]","[5,10 3,3 1,7,1,3,3 4 5,2,4,0,2 5,1,0 5,6,0,2,4,9,8,5,0,11,3 2 1]"
 31, 6, 6,  5, 14,  0,     pso, 23,0.27,   1.833,N,"[0,10 3,2,7,0,6,4,4,3 1,3,0,9,1,3 2 1,5,8,1,2,3 4 5,5,11,0 5,2 5]","[5,10 3,3 1,7,1,3,3 4 5,2,4,0,2 5,1,0 5,6,0,2,4,9,8,5,0,11,3 2 1]"
 31, 6, 6,  5, 14,  0, psoPure, 23,0.27,   1.823,N,"[0,10 3,2,7,0,6,4,4,3 1,3,0,9,1 3,2 1,5,8,1,2,3 4 5,5,11,0 5,2 5]","[5,10 3,3 1,7,1 3,3 4 5,2,4,0,2 5,1,0 5,6,0,2,4,9,8,5,0,11,3,2 1]"
 31, 6, 6,  5, 14,  0, psoComb, 23,0.27,   3.050,N,"[0,10 3,2,7,0,6,4,4,3 1,3,0,9,1,3 2 1,5,8,1,2,3 4 5,5,11,0 5,2 5]","[5,10 3,3 1,7,1,3,3 4 5,2,4,0,2 5,1,0 5,6,0,2,4,9,8,5,0,11,3 2 1]"
 31, 6, 6,  5, 14,   ,     FPT, 23,0.27,1190.193,Y,,
 31, 5,16,  5,  4,   , combine, 29,0.07,   0.000,N,"[16 5,3,20,19,6,10 3,2,14,8,4,15,4,18,7,3,2,12,11,17,5,21,5,1,1,3,9,13,5,5]","[1,9,3,11,4,5,20,1,13,15,7,21,8,5,16 5,5,18,14,5,3,10 3,3,12,2,4,19,17,2,6]"
 31, 5,16,  5,  4,   ,combineS, 29,0.07,   0.000,N,"[16 5,3,20,19,6,10 3,2,14,8,4,15,4,18,7,3,2,12,11,17,5,21,5,1,1,3,9,13,5,5]","[1,9,3,11,4,5,20,1,13,15,7,21,8,5,16 5,5,18,14,5,3,10 3,3,12,2,4,19,17,2,6]"
 31, 5,16,  5,  4,   ,  greedy, 29,0.07,   0.002,N,"[16 5,3,20,19,6,10 3,2,14,8,4,15,4,18,7,3,2,12,11,17,5,21,5,1,1,3,9,13,5,5]","[1,9,3,11,4,5,20,1,13,15,7,21,8,5,16 5,5,18,14,5,3,10 3,3,12,2,4,19,17,2,6]"
 31, 5,16,  5,  4,  1,     pso, 28,0.10,   0.391,N,"[16,5 3,20,19,6,10 3,2,14,8,4,15,4,18,7,3,2,12,11,17,5,21,5,1,1,3,9,13,5 5]","[1,9,3,11,4,5,20,1,13,15,7,21,8,5,16,5 5,18,14,5 3,10 3,3,12,2,4,19,17,2,6]"
 31, 5,16,  5,  4,  0, psoPure, 28,0.10,   0.375,N,"[16,5 3,20,19,6,10 3,2,14,8,4,15,4,18,7,3,2,12,11,17,5,21,5,1,1,3,9,13,5 5]","[1,9,3,11,4,5,20,1,13,15,7,21,8,5,16,5 5,18,14,5 3,10 3,3,12,2,4,19,17,2,6]"
 31, 5,16,  5,  4,  1, psoComb, 28,0.10,   1.472,N,"[16,5 3,20,19,6,10 3,2,14,8,4,15,4,18,7,3,2,12,11,17,5,21,5,1,1,3,9,13,5 5]","[1,9,3,11,4,5,20,1,13,15,7,21,8,5,16,5 5,18,14,5 3,10 3,3,12,2,4,19,17,2,6]"
 31, 5,16,  5,  4,   ,     FPT, 28,0.10,   0.156,Y,,
 31, 5,12,  5, 12,   , combine, 26,0.17,   0.000,N,"[9,15,7,2 3,3 10,6,5,5 0,17,0,2,5,0,16,2,8,5,3,13,2 3,14,4,4,11,0,3 12]","[14,5,2,2 3,13,7,15,5,17,5,9,0,4,0,0,3 10,5 0,3,3 12,2,11,6,8,4,2 3,16]"
 31, 5,12,  5, 12,   ,combineS, 26,0.17,   0.000,N,"[9,15,7,2 3,3 10,6,5,5 0,17,0,2,5,0,16,2,8,5,3 13,2,3,14,4,4,11,0,3 12]","[14,5,2,2,3 13,7,15,5,17,5,9,0,4,0,0,3 10,5 0,3,3 12,2,11,6,8,4,2 3,16]"
 31, 5,12,  5, 12,   ,  greedy, 26,0.17,   0.002,N,"[9,15,7,2,3 3,10,6,5,5 0,17,0,2,5,0,16,2,8,5,3 13,2 3,14,4,4,11,0 3,12]","[14,5,2,2,3 13,7,15,5,17,5,9,0,4,0,0 3,10,5 0,3 3,12,2,11,6,8,4,2 3,16]"
 31, 5,12,  5, 12,  0,     pso, 26,0.17,   1.501,N,"[9,15,7,2 3,3 10,6,5,5 0,17,0,2,5,0,16,2,8,5,3,13,2 3,14,4,4,11,0,3 12]","[14,5,2,2 3,13,7,15,5,17,5,9,0,4,0,0,3 10,5 0,3,3 12,2,11,6,8,4,2 3,16]"
 31, 5,12,  5, 12,  0, psoPure, 26,0.17,   1.500,N,"[9,15,7,2 3,3 10,6,5,5,0,17,0,2,5 0,16,2,8,5,3,13,2 3,14,4,4,11,0,3 12]","[14,5,2,2 3,13,7,15,5,17,5,9,0,4,0,0,3 10,5 0,3,3 12,2,11,6,8,4,2 3,16]"
 31, 5,12,  5, 12,  0, psoComb, 26,0.17,   2.519,N,"[9,15,7,2 3,3 10,6,5,5 0,17,0,2,5,0,16,2,8,5,3,13,2 3,14,4,4,11,0,3 12]","[14,5,2,2 3,13,7,15,5,17,5,9,0,4,0,0,3 10,5 0,3,3 12,2,11,6,8,4,2 3,16]"
 31, 5,12,  5, 12,   ,     FPT, 26,0.17,  17.572,Y,,
 31, 8, 4,  5,  9,   , combine, 26,0.17,   0.000,N,"[6,11,6 8 1,0,6,1,8,2,13,2,1,8 0,8,1,6,4,8,9,2,12 1,0,9,10,7,4 4,7]","[9,8 0,12 1,7,2,11,7,1,1,6 8 1,4 4,10,1,2,0,4,6,6,8,6,0,2,9,8,8,13]"
 31, 8, 4,  5,  9,   ,combineS, 26,0.17,   0.000,N,"[6,11,6 8 1,0,6,1,8,2,13,2,1,8 0,8,1,6,4,8,9,2,12 1,0,9,10,7,4 4,7]","[9,8 0,12 1,7,2,11,7,1,1,6 8 1,4 4,10,1,2,0,4,6,6,8,6,0,2,9,8,8,13]"
 31, 8, 4,  5,  9,   ,  greedy, 26,0.17,   0.002,N,"[6,11,6 8 1,0,6,1,8,2,13,2,1,8 0,8,1,6,4,8,9,2,12 1,0,9,10,7,4 4,7]","[9,8 0,12 1,7,2,11,7,1,1,6 8 1,4 4,10,1,2,0,4,6,6,8,6,0,2,9,8,8,13]"
 31, 8, 4,  5,  9,  0,     pso, 26,0.17,   1.044,N,"[6,11,6 8 1,0,6,1,8,2,13,2,1,8 0,8,1,6,4,8,9,2,12 1,0,9,10,7,4 4,7]","[9,8 0,12 1,7,2,11,7,1,1,6 8 1,4 4,10,1,2,0,4,6,6,8,6,0,2,9,8,8,13]"
 31, 8, 4,  5,  9,  0, psoPure, 26,0.17,   1.062,N,"[6,11,6 8 1,0,6,1,8,2,13,2,1,8 0,8,1,6,4,8,9,2,12 1,0,9,10,7,4 4,7]","[9,8 0,12 1,7,2,11,7,1,1,6 8 1,4 4,10,1,2,0,4,6,6,8,6,0,2,9,8,8,13]"
 31, 8, 4,  5,  9,  0, psoComb, 26,0.17,   2.225,N,"[6,11,6 8 1,0,6,1,8,2,13,2,1,8 0,8,1,6,4,8,9,2,12 1,0,9,10,7,4 4,7]","[9,8 0,12 1,7,2,11,7,1,1,6 8 1,4 4,10,1,2,0,4,6,6,8,6,0,2,9,8,8,13]"
 31, 8, 4,  5,  9,   ,     FPT, 25,0.20, 270.155,Y,,
 31, 5, 4,  9, 30,   , combine, 21,0.33,   0.000,N,"[3 4,1 4,2 0,0 4,0 3,4,2 4,8,1 2,6,0,2,4 0,7,3,0 5,4 4,1,3,0,4]","[0 4,1 4,3,1,4,2 0,8,3 4,0,4 4,6,1 2,2,0 3,3,2 4,4,7,4 0,0 5,0]"
 31, 5, 4,  9, 30,   ,combineS, 21,0.33,   0.000,N,"[3 4,1 4,2 0,0 4,0 3,4,2 4,8,1 2,6,0,2,4 0,7,3,0 5,4 4,1,3,0,4]","[0 4,1 4,3,1,4,2 0,8,3 4,0,4 4,6,1 2,2,0 3,3,2 4,4,7,4 0,0 5,0]"
 31, 5, 4,  9, 30,   ,  greedy, 21,0.33,   0.002,N,"[3 4,1 4 2 0,0,4 0,3,4,2 4,8,1 2,6,0,2,4,0,7,3,0 5,4,4 1,3,0 4]","[0,4 1,4,3,1 4 2 0,8,3 4,0 4,4,6,1 2,2,0,3,3,2 4,4,7,4 0,0 5,0]"
 31, 5, 4,  9, 30,  0,     pso, 20,0.37,   4.621,N,"[3 4,1 4 2 0,0 4,0 3,4,2 4,8,1 2,6,0,2,4 0,7,3,0 5,4 4,1,3,0,4]","[0 4,1,4,3,1 4 2 0,8,3 4,0,4 4,6,1 2,2,0 3,3,2 4,4,7,4 0,0 5,0]"
 31, 5, 4,  9, 30,  0, psoPure, 20,0.37,   4.831,N,"[3 4,1 4 2 0,0 4,0 3,4,2,4,8,1 2,6,0,2,4 0,7,3,0 5,4 4,1,3,0 4]","[0 4,1,4,3,1 4 2 0,8,3 4,0 4,4,6,1 2,2,0 3,3,2,4 4,7,4 0,0 5,0]"
 31, 5, 4,  9, 30,  0, psoComb, 20,0.37,   5.697,N,"[3 4,1 4 2 0,0 4,0 3,4,2 4,8,1 2,6,0,2,4 0,7,3,0 5,4 4,1,3,0,4]","[0 4,1,4,3,1 4 2 0,8,3 4,0,4 4,6,1 2,2,0 3,3,2 4,4,7,4 0,0 5,0]"
 31, 5, 4,  9, 30,   ,     FPT, 24,0.23,3600.000,N,,
 32, 6,13,  4,  5,   , combine, 28,0.13,   0.000,N,"[21 0,2,5,3 7,16,2,11,10,3,12,0,9,7,14,3 18,5,17,8,3,2,5,0,8,15,19,7 13,2,20]","[3,5,2,2,3,21 0,5,19,3 18,12,20,14,0,2,15,8,2,9,11,5,8,7 13,0,10,17,16,3 7,7]"
 32, 6,13,  4,  5,   ,combineS, 28,0.13,   0.000,N,"[21 0,2,5,3 7,16,2,11,10,3,12,0,9,7,14,3 18,5,17,8,3,2,5,0,8,15,19,7 13,2,20]","[3,5,2,2,3,21 0,5,19,3 18,12,20,14,0,2,15,8,2,9,11,5,8,7 13,0,10,17,16,3 7,7]"
 32, 6,13,  4,  5,   ,  greedy, 28,0.13,   0.003,N,"[21 0,2,5,3 7,16,2,11,10,3,12,0,9,7,14,3 18,5,17,8,3,2,5,0,8,15,19,7 13,2,20]","[3,5,2,2,3,21 0,5,19,3 18,12,20,14,0,2,15,8,2,9,11,5,8,7 13,0,10,17,16,3 7,7]"
 32, 6,13,  4,  5,  0,     pso, 28,0.13,   0.580,N,"[21 0,2,5,3 7,16,2,11,10,3,12,0,9,7,14,3 18,5,17,8,3,2,5,0,8,15,19,7 13,2,20]","[3,5,2,2,3,21 0,5,19,3 18,12,20,14,0,2,15,8,2,9,11,5,8,7 13,0,10,17,16,3 7,7]"
 32, 6,13,  4,  5,  0, psoPure, 28,0.13,   0.574,N,"[21,0 2,5,3 7,16,2,11,10,3,12,0,9,7,14,3 18,5,17,8,3,2,5,0,8,15,19,7 13,2,20]","[3,5,2,2,3,21,0,5,19,3 18,12,20,14,0 2,15,8,2,9,11,5,8,7 13,0,10,17,16,3 7,7]"
 32, 6,13,  4,  5,  0, psoComb, 28,0.13,   1.702,N,"[21 0,2,5,3 7,16,2,11,10,3,12,0,9,7,14,3 18,5,17,8,3,2,5,0,8,15,19,7 13,2,20]","[3,5,2,2,3,21 0,5,19,3 18,12,20,14,0,2,15,8,2,9,11,5,8,7 13,0,10,17,16,3 7,7]"
 32, 6,13,  4,  5,   ,     FPT, 28,0.13,   5.905,Y,,
 32, 4,22,  3,  1,   , combine, 31,0.03,   0.000,N,"[0,8,24,2,18,15,5,0,16,7,12,2,13,3,11,1,17,14,1,20,25 22,1,19,23,26,3,0,21,6,9,10]","[15,19,3,25 22,0,1,7,24,9,3,21,13,6,0,1,5,10,23,2,14,2,0,26,18,17,1,16,20,12,11,8]"
 32, 4,22,  3,  1,   ,combineS, 31,0.03,   0.000,N,"[0,8,24,2,18,15,5,0,16,7,12,2,13,3,11,1,17,14,1,20,25 22,1,19,23,26,3,0,21,6,9,10]","[15,19,3,25 22,0,1,7,24,9,3,21,13,6,0,1,5,10,23,2,14,2,0,26,18,17,1,16,20,12,11,8]"
 32, 4,22,  3,  1,   ,  greedy, 31,0.03,   0.003,N,"[0,8,24,2,18,15,5,0,16,7,12,2,13,3,11,1,17,14,1,20,25 22,1,19,23,26,3,0,21,6,9,10]","[15,19,3,25 22,0,1,7,24,9,3,21,13,6,0,1,5,10,23,2,14,2,0,26,18,17,1,16,20,12,11,8]"
