size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,exact,left,right
 22, 4,12,  4,  3,   , combine, 20,0.10,   0.000,N,"[5,13,1,11,2 14,2 3,8,6,1,2,9,3,15,2,7,12,10,0,0,4]","[2,15,3,2 3,2,0,7,1,2 14,0,6,12,13,10,5,1,4,9,8,11]"
 22, 4,12,  4,  3,   ,combineS, 20,0.10,   0.000,N,"[5,13,1,11,2 14,2 3,8,6,1,2,9,3,15,2,7,12,10,0,0,4]","[2,15,3,2 3,2,0,7,1,2 14,0,6,12,13,10,5,1,4,9,8,11]"
 22, 4,12,  4,  3,   ,  greedy, 20,0.10,   0.001,N,"[5,13,1,11,2 14,2 3,8,6,1,2,9,3,15,2,7,12,10,0,0,4]","[2,15,3,2 3,2,0,7,1,2 14,0,6,12,13,10,5,1,4,9,8,11]"
 22, 4,12,  4,  3,  0,     pso, 20,0.10,   0.285,N,"[5,13,1,11,2 14,2 3,8,6,1,2,9,3,15,2,7,12,10,0,0,4]","[2,15,3,2 3,2,0,7,1,2 14,0,6,12,13,10,5,1,4,9,8,11]"
 22, 4,12,  4,  3,  0, psoPure, 20,0.10,   0.267,N,"[5,13,1,11,2,14,2 3,8,6,1 2,9,3,15,2,7,12,10,0,0,4]","[2,15,3,2 3,2,0,7,1 2,14,0,6,12,13,10,5,1,4,9,8,11]"
 22, 4,12,  4,  3,  0, psoComb, 20,0.10,   0.901,N,"[5,13,1,11,2 14,2 3,8,6,1,2,9,3,15,2,7,12,10,0,0,4]","[2,15,3,2 3,2,0,7,1,2 14,0,6,12,13,10,5,1,4,9,8,11]"
 22, 4,12,  4,  3,   ,     FPT, 20,0.10,   0.020,Y,,
 22, 6, 4,  6,  7,   , combine, 19,0.14,   0.000,N,"[0,10,1 6,5,1,6 0,8 6,3,5,11,6,1,6,1,2,6,9,3,2]","[6,3,0,1,8 6,6,10,2,1,9,6,5,2,3,6 0,1 6,11,1,5]"
 22, 6, 4,  6,  7,   ,combineS, 19,0.14,   0.000,N,"[0,10,1 6,5,1,6 0,8 6,3,5,11,6,1,6,1,2,6,9,3,2]","[6,3,0,1,8 6,6,10,2,1,9,6,5,2,3,6 0,1 6,11,1,5]"
 22, 6, 4,  6,  7,   ,  greedy, 18,0.19,   0.001,N,"[0,10,1,6 5,1,6 0,8 6,3,5,11,6,1 6,1,2,6,9,3,2]","[6,3,0,1,8 6,6,10,2,1,9,6 5,2,3,6 0,1 6,11,1,5]"
 22, 6, 4,  6,  7,  0,     pso, 18,0.19,   0.727,N,"[0,10,1,6 5,1,6 0,8 6,3,5,11,6,1 6,1,2,6,9,3,2]","[6,3,0,1,8 6,6,10,2,1,9,6 5,2,3,6 0,1 6,11,1,5]"
 22, 6, 4,  6,  7,  0, psoPure, 18,0.19,   0.720,N,"[0,10,1,6 5,1,6 0,8,6 3,5,11,6,1 6,1,2,6,9,3,2]","[6 3,0,1,8,6,6,10,2,1,9,6 5,2,3,6 0,1 6,11,1,5]"
 22, 6, 4,  6,  7,  0, psoComb, 18,0.19,   1.312,N,"[0,10,1,6 5,1,6 0,8 6,3,5,11,6,1 6,1,2,6,9,3,2]","[6,3,0,1,8 6,6,10,2,1,9,6 5,2,3,6 0,1 6,11,1,5]"
 22, 6, 4,  6,  7,   ,     FPT, 18,0.19,   0.888,Y,,
 22, 5, 8,  4,  6,   , combine, 19,0.14,   0.000,N,"[0,2,8,1,4,10 3,1 0,7,6,5 3,2,12,4,3,1,4,9,11,3]","[9,6,8,10 3,12,11,7,3,3,1 0,4,1,5 3,0,4,2,2,4,1]"
 22, 5, 8,  4,  6,   ,combineS, 19,0.14,   0.000,N,"[0,2,8,1,4,10 3,1 0,7,6,5 3,2,12,4,3,1,4,9,11,3]","[9,6,8,10 3,12,11,7,3,3,1 0,4,1,5 3,0,4,2,2,4,1]"
 22, 5, 8,  4,  6,   ,  greedy, 19,0.14,   0.001,N,"[0,2,8,1,4,10,3 1 0,7,6,5 3,2,12,4,3,1,4,9,11,3]","[9,6,8,10,3,12,11,7,3,3 1 0,4,1,5 3,0,4,2,2,4,1]"
 22, 5, 8,  4,  6,  0,     pso, 19,0.14,   0.521,N,"[0,2,8,1,4,10,3 1 0,7,6,5 3,2,12,4,3,1,4,9,11,3]","[9,6,8,10,3,12,11,7,3,3 1 0,4,1,5 3,0,4,2,2,4,1]"
 22, 5, 8,  4,  6,  0, psoPure, 19,0.14,   0.505,N,"[0,2,8,1,4,10,3 1 0,7,6,5 3,2,12,4,3,1,4,9,11,3]","[9,6,8,10,3,12,11,7,3,3 1 0,4,1,5 3,0,4,2,2,4,1]"
 22, 5, 8,  4,  6,  0, psoComb, 19,0.14,   1.225,N,"[0,2,8,1,4,10,3 1 0,7,6,5 3,2,12,4,3,1,4,9,11,3]","[9,6,8,10,3,12,11,7,3,3 1 0,4,1,5 3,0,4,2,2,4,1]"
 22, 5, 8,  4,  6,   ,     FPT, 19,0.14,   0.159,Y,,
 22, 3,11,  5,  4,   , combine, 21,0.05,   0.000,N,"[14,12,4,5,4 4,0,13,7,4,9,1,0,10,8,4,11,0,6,15,0,1]","[4,0,12,7,4 4,13,10,0,9,4,8,6,4,0,0,11,1,1,15,5,14]"
 22, 3,11,  5,  4,   ,combineS, 20,0.10,   0.000,N,"[14,12,4,5,4,4 0,13,7 4,9,1,0,10,8,4,11,0,6,15,0,1]","[4 0,12,7 4,4,13,10,0,9,4,8,6,4,0,0,11,1,1,15,5,14]"
 22, 3,11,  5,  4,   ,  greedy, 20,0.10,   0.001,N,"[14,12,4,5,4,4 0,13,7 4,9,1,0,10,8,4,11,0,6,15,0,1]","[4 0,12,7 4,4,13,10,0,9,4,8,6,4,0,0,11,1,1,15,5,14]"
 22, 3,11,  5,  4,  0,     pso, 20,0.10,   0.298,N,"[14,12,4,5,4,4 0,13,7 4,9,1,0,10,8,4,11,0,6,15,0,1]","[4 0,12,7 4,4,13,10,0,9,4,8,6,4,0,0,11,1,1,15,5,14]"
 22, 3,11,  5,  4,  0, psoPure, 20,0.10,   0.273,N,"[14,12,4,5,4,4 0,13,7 4,9,1,0,10,8,4,11,0,6,15,0,1]","[4 0,12,7 4,4,13,10,0,9,4,8,6,4,0,0,11,1,1,15,5,14]"
