size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 78, 5, 6, 17,206, combine, 49,0.38,   0.001,"[1 4,4 0,4 2,1 1,4,7,3 1,0 1,1 2,10,8,3 2 4,0 3,0 0,2 4,2 2,0 2,3,4 4,1 2,2,3 2,1 4,0 1,1,0 4,4,0 1,4 1 4,6,1 4,0,1,2 1,3,4,0 2,3,5,0,1,2,2 9,3 3 2,0,2,3,2,3]","[2,4 0,0,0 1,2 4,4 4,6,2,0 1,3 2 4,1,10,5,4,4 1 4,2 2,1 4,3 3 2,0 3,2,4,0 4,3,1 1,0,4,3 2,2 1,0 2,2,3 1,1 2,1 4,3,1,1 4,3,7,0 2,0 0,0,3,1 2,0 1,3,4 2,2 9,8,1]"
 78, 5, 6, 17,206,combineS, 48,0.39,   0.002,"[1 4,4 0 4,2 1,1 4,7,3 1,0 1,1 2,10,8,3 2 4,0 3,0 0,2 4,2 2,0 2,3 4,4,1 2,2 3,2,1 4,0 1,1 0 4,4 0,1,4,1,4 6,1,4,0 1,2,1,3,4,0 2,3,5,0,1,2 2 9,3 3 2,0,2,3,2,3]","[2,4 0,0,0 1,2 4,4,4 6,2,0 1,3 2 4,1,10,5,4,4,1 4,2,2 1,4,3 3 2,0 3,2,4 0 4,3 1,1 0 4,3,2 2,1,0 2,2 3,1,1 2,1 4,3,1,1 4,3,7,0 2,0 0,0,3,1 2,0 1,3 4,2 2 9,8,1]"
 78, 5, 6, 17,206,  greedy, 44,0.44,   0.011,"[1 4,4,0,4 2,1 1 4,7,3,1 0,1 1 2,10,8,3 2 4 0,3,0 0,2,4 2 2,0 2,3,4 4 1,2 2 3,2 1 4,0,1 1 0 4,4,0 1,4 1,4 6,1,4,0 1 2,1 3,4,0,2,3,5,0,1 2,2,9,3 3 2 0,2,3 2,3]","[2,4,0 0,0 1 2,4,4,4 6,2,0,1 3,2,4 1,10,5,4 4 1,4 2,2 1 4,3 3 2 0,3 2 4 0,4,3,1 1 0 4,3 2,2,1 0,2 2 3,1 1 2,1 4,3,1 1 4,3,7,0 2,0,0,0,3,1 2,0 1,3,4 2 2,9,8,1]"
 78, 5, 6, 17,206,     pso, 42,0.47,  34.037,"[1,4 4,0,4 2,1 1 4,7,3,1 0,1 1 2,10,8,3 2 4 0,3,0 0,2,4 2 2,0 2,3,4 4 1,2 2 3,2 1 4,0,1 1 0 4,4,0 1,4 1,4 6,1 4,0 1 2,1 3,4 0,2,3,5,0,1 2,2,9,3 3 2 0,2,3 2,3]","[2,4 0,0,0 1 2,4 4,4 6,2,0,1 3,2,4 1,10,5,4 4 1,4 2,2 1 4,3 3 2 0,3 2 4 0,4,3,1 1 0 4,3 2,2,1 0,2 2 3,1 1 2,1 4,3,1 1 4,3,7,0 2,0,0 0,3,1 2,0 1,3,4 2 2,9,8,1]"
 51, 5,16, 12, 29, combine, 41,0.20,   0.000,"[8 0,4,4 2 5,5 1,9 1,2,7,5,1 1,11,2,0,2,4,21,4,12,18,5,17,6,1,13,16,1,20,5,0,1 1,2,4 0,1,1,2,14 1,5,1 5,10,19,4,15]","[0,4,7,2,1,4,1,18,2,5,5,5 1,4,9 1,10,5,4 2 5,6,4 0,20,1 1,19,16,2,12,11,1 1,17,13,2,1 5,4,0,8 0,1,15,21,2,1,5,14 1]"
 51, 5,16, 12, 29,combineS, 41,0.20,   0.000,"[8 0,4,4 2 5,5 1,9 1,2,7,5,1 1,11,2,0,2,4,21,4,12,18,5,17,6,1,13,16,1,20,5,0,1 1,2,4 0,1,1,2,14 1,5,1 5,10,19,4,15]","[0,4,7,2,1,4,1,18,2,5,5,5 1,4,9 1,10,5,4 2 5,6,4 0,20,1 1,19,16,2,12,11,1 1,17,13,2,1 5,4,0,8 0,1,15,21,2,1,5,14 1]"
 51, 5,16, 12, 29,  greedy, 40,0.22,   0.004,"[8,0 4,4 2,5 5 1,9 1,2,7,5,1 1,11,2,0,2,4,21,4,12,18,5,17,6,1,13,16,1,20,5,0 1,1,2,4 0,1 1,2,14 1,5,1 5,10,19,4,15]","[0 4,7,2,1,4,1,18,2,5,5 5 1,4,9 1,10,5,4 2,5,6,4,0,20,1 1,19,16,2,12,11,1 1,17,13,2,1 5,4 0,8,0 1,15,21,2,1,5,14 1]"
 51, 5,16, 12, 29,     pso, 40,0.22,   2.393,"[8,0 4,4 2,5 5 1,9 1,2,7,5,1 1,11,2,0,2,4,21,4,12,18,5,17,6,1,13,16,1,20,5,0 1,1,2,4 0,1 1,2,14 1,5,1 5,10,19,4,15]","[0 4,7,2,1,4,1,18,2,5,5 5 1,4,9 1,10,5,4 2,5,6,4,0,20,1 1,19,16,2,12,11,1 1,17,13,2,1 5,4 0,8,0 1,15,21,2,1,5,14 1]"
 39, 7, 7,  6, 22, combine, 29,0.26,   0.000,"[8,8,0 5,4,4 1,4,0 6,9,5 8,1 7,1,6,11,5,6 0,7,7,0 5,8,6,10,5,0,12,13,7 15,14,0,6 6 7]","[0,0,8,13,0 5,11,9,4,8,7,12,7 15,1 7,5 8,4 1,5,1,0 5,0 6,8,6 0,6 6 7,6,7,10,4,14,6,5]"
 39, 7, 7,  6, 22,combineS, 29,0.26,   0.000,"[8,8,0 5,4,4 1,4,0 6,9,5 8,1 7,1,6,11,5,6 0,7,7,0 5,8,6,10,5,0,12,13,7 15,14,0,6 6 7]","[0,0,8,13,0 5,11,9,4,8,7,12,7 15,1 7,5 8,4 1,5,1,0 5,0 6,8,6 0,6 6 7,6,7,10,4,14,6,5]"
 39, 7, 7,  6, 22,  greedy, 29,0.26,   0.002,"[8,8,0 5,4,4 1,4,0,6,9,5 8,1 7,1,6,11,5,6,0,7,7,0,5,8 6,10,5 0,12,13,7 15,14,0 6 6 7]","[0,0,8,13,0 5,11,9,4,8,7,12,7 15,1 7,5 8,4 1,5,1,0,5 0,6,8 6,0 6 6 7,6,7,10,4,14,6,5]"
 39, 7, 7,  6, 22,     pso, 28,0.29,   1.834,"[8,8,0 5,4,4 1,4,0 6,9,5 8,1 7,1,6,11,5,6,0,7,7,0 5,8 6,10,5,0,12,13,7 15,14,0 6 6 7]","[0,0,8,13,0 5,11,9,4,8,7,12,7 15,1 7,5 8,4 1,5,1,0 5,0 6,8 6,0 6 6 7,6,7,10,4,14,6,5]"
 45, 7,15,  7,  8, combine, 41,0.09,   0.000,"[5,1,5,14,5 10,2,21,2,11,17,6,0,1,5,4,3,5,19,7,2 1,13,12,18,2,15,6,0 4,0,4,8,5,3 2,4,9,3,6,1,20,16,5,1]","[1,13,21,17,5,2,4,15,3 2,5,5,5,6,4,6,16,1,1,6,14,19,11,5,7,0,8,0,12,4,5,0 4,20,18,5 10,9,2 1,3,2,3,1,2]"
 45, 7,15,  7,  8,combineS, 41,0.09,   0.000,"[5,1,5,14,5 10,2,21,2,11,17,6,0,1,5,4,3,5,19,7,2,1 13,12,18,2,15,6,0 4,0,4,8,5,3 2,4,9,3,6,1,20,16,5,1]","[1 13,21,17,5,2,4,15,3 2,5,5,5,6,4,6,16,1,1,6,14,19,11,5,7,0,8,0,12,4,5,0 4,20,18,5 10,9,2,1,3,2,3,1,2]"
