size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 30, 4,16,  4,  2,  0,     pso, 28,0.07,   0.146,"[1,1,2,3,3,3,3 4,4,4,4 5,5,5,5,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[19,27,29,5,1,3 4,18,3,28,5,4,1,3,23,5,4 5,24,17,4,26,3,22,20,16,2,25,21,30]"
 30, 4,16,  4,  2,   ,     FPT, 27,0.10,   0.530,"",""
 30, 5,11,  5,  4,   , combine, 29,0.03,   0.000,"[1,1,1,2,2,2,2,3,3,3,3,3,4 4,4,4,4,5,5,20,21,22,23,24,25,26,27,28,29,30]","[28,1,20,4,22,2,1,3,5,2,21,4,1,3,23,4 4,24,3,30,2,27,3,2,25,3,29,26,5,4]"
 30, 5,11,  5,  4,   ,combineS, 29,0.03,   0.000,"[1,1,1,2,2,2,2,3,3,3,3,3,4 4,4,4,4,5,5,20,21,22,23,24,25,26,27,28,29,30]","[28,1,20,4,22,2,1,3,5,2,21,4,1,3,23,4 4,24,3,30,2,27,3,2,25,3,29,26,5,4]"
 30, 5,11,  5,  4,   ,  greedy, 29,0.03,   0.003,"[1,1,1,2,2,2,2,3,3,3,3,3,4 4,4,4,4,5,5,20,21,22,23,24,25,26,27,28,29,30]","[28,1,20,4,22,2,1,3,5,2,21,4,1,3,23,4 4,24,3,30,2,27,3,2,25,3,29,26,5,4]"
 30, 5,11,  5,  4,  0,     pso, 29,0.03,   0.255,"[1,1,1,2,2,2,2,3,3,3,3,3,4 4,4,4,4,5,5,20,21,22,23,24,25,26,27,28,29,30]","[28,1,20,4,22,2,1,3,5,2,21,4,1,3,23,4 4,24,3,30,2,27,3,2,25,3,29,26,5,4]"
 30, 5,11,  5,  4,   ,     FPT, 29,0.03,  29.688,"",""
 30, 4,17,  4,  6,   , combine, 27,0.10,   0.000,"[1,1,1,1,2,2,2,2,3,4 4 4,5,5,15,16,17,18 19,20,21,22,23,24,25,26,27,28,29,30]","[22,1,15,20,16,1,28,18 19,3,2,5,2,5,25,24,23,26,2,27,4 4 4,29,2,17,1,30,1,21]"
 30, 4,17,  4,  6,   ,combineS, 27,0.10,   0.000,"[1,1,1,1,2,2,2,2,3,4 4 4,5,5,15,16,17,18 19,20,21,22,23,24,25,26,27,28,29,30]","[22,1,15,20,16,1,28,18 19,3,2,5,2,5,25,24,23,26,2,27,4 4 4,29,2,17,1,30,1,21]"
 30, 4,17,  4,  6,   ,  greedy, 27,0.10,   0.002,"[1,1,1,1,2,2,2,2,3,4 4 4,5,5,15,16,17,18 19,20,21,22,23,24,25,26,27,28,29,30]","[22,1,15,20,16,1,28,18 19,3,2,5,2,5,25,24,23,26,2,27,4 4 4,29,2,17,1,30,1,21]"
 30, 4,17,  4,  6,  0,     pso, 27,0.10,   0.421,"[1,1,1,1,2,2,2,2,3,4 4 4,5,5,15,16,17,18 19,20,21,22,23,24,25,26,27,28,29,30]","[22,1,15,20,16,1,28,18 19,3,2,5,2,5,25,24,23,26,2,27,4 4 4,29,2,17,1,30,1,21]"
 30, 4,17,  4,  6,   ,     FPT, 27,0.10,   0.103,"",""
 30, 4,12,  5, 16,   , combine, 26,0.14,   0.000,"[1,1,1,1,1 2,2 2 2,2,3,3,3,4,5 5,5,5,5,20,21,22,23,24,25,26,27,28,29,30]","[1,28,1 2,25,1,26,2,5,1,22,5,27,4,21,29,20,3,5,3,23,3,30,2 2 2,24,5 5,1]"
 30, 4,12,  5, 16,   ,combineS, 26,0.14,   0.000,"[1,1,1,1,1 2,2 2 2,2,3,3,3,4,5 5,5,5,5,20,21,22,23,24,25,26,27,28,29,30]","[1,28,1 2,25,1,26,2,5,1,22,5,27,4,21,29,20,3,5,3,23,3,30,2 2 2,24,5 5,1]"
 30, 4,12,  5, 16,   ,  greedy, 27,0.10,   0.002,"[1,1,1,1,1,2 2 2,2,2,3,3,3,4,5 5,5,5,5,20,21,22,23,24,25,26,27,28,29,30]","[1,28,1,2,25,1,26,2,5,1,22,5,27,4,21,29,20,3,5,3,23,3,30,2 2 2,24,5 5,1]"
 30, 4,12,  5, 16,  0,     pso, 26,0.14,   1.419,"[1,1,1,1,1 2,2 2 2,2,3,3,3,4,5,5,5,5 5,20,21,22,23,24,25,26,27,28,29,30]","[1,28,1 2,25,1,26,2,5,1,22,5,27,4,21,29,20,3,5,3,23,3,30,2 2 2,24,5 5,1]"
 30, 4,12,  5, 16,   ,     FPT, 25,0.17,  55.565,"",""
 30, 4,16,  5,  5,   , combine, 27,0.10,   0.000,"[1,1,1,1,1 2,2,3,4,4,4 5,5 5,5,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,5,28,22,3,29,24,1,20,16,18,25,1,4,21,19,1 2,27,23,17,1,30,4 5,4,2,1,5 5]"
 30, 4,16,  5,  5,   ,combineS, 27,0.10,   0.000,"[1,1,1,1,1 2,2,3,4,4,4 5,5 5,5,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,5,28,22,3,29,24,1,20,16,18,25,1,4,21,19,1 2,27,23,17,1,30,4 5,4,2,1,5 5]"
 30, 4,16,  5,  5,   ,  greedy, 28,0.07,   0.002,"[1,1,1,1,1 2,2,3,4,4,4,5 5,5,5,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,5,28,22,3,29,24,1,20,16,18,25,1,4,21,19,1 2,27,23,17,1,30,4,5,4,2,1,5 5]"
 30, 4,16,  5,  5,  0,     pso, 27,0.10,   0.464,"[1,1,1,1,1 2,2,3,4,4,4 5,5 5,5,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,5,28,22,3,29,24,1,20,16,18,25,1,4,21,19,1 2,27,23,17,1,30,4 5,4,2,1,5 5]"
 30, 4,16,  5,  5,   ,     FPT, 27,0.10,   1.662,"",""
 30, 3,21,  4,  2,   , combine, 28,0.07,   0.000,"[1,1,2,3,3,3,3 4,5,5,5,12,13,14,15,16,17 18,19,20,21,22,23,24,25,26,27,28,29,30]","[23,13,25,3,27,1,22,1,3 4,24,28,15,17 18,5,3,20,12,30,5,2,29,14,5,19,21,3,26,16]"
 30, 3,21,  4,  2,   ,combineS, 28,0.07,   0.000,"[1,1,2,3,3,3,3 4,5,5,5,12,13,14,15,16,17 18,19,20,21,22,23,24,25,26,27,28,29,30]","[23,13,25,3,27,1,22,1,3 4,24,28,15,17 18,5,3,20,12,30,5,2,29,14,5,19,21,3,26,16]"
 30, 3,21,  4,  2,   ,  greedy, 28,0.07,   0.003,"[1,1,2,3,3,3,3 4,5,5,5,12,13,14,15,16,17 18,19,20,21,22,23,24,25,26,27,28,29,30]","[23,13,25,3,27,1,22,1,3 4,24,28,15,17 18,5,3,20,12,30,5,2,29,14,5,19,21,3,26,16]"
 30, 3,21,  4,  2,  0,     pso, 28,0.07,   0.135,"[1,1,2,3,3,3,3 4,5,5,5,12,13,14,15,16,17 18,19,20,21,22,23,24,25,26,27,28,29,30]","[23,13,25,3,27,1,22,1,3 4,24,28,15,17 18,5,3,20,12,30,5,2,29,14,5,19,21,3,26,16]"
 30, 3,21,  4,  2,   ,     FPT, 28,0.07,   0.010,"",""
 30, 4,19,  4,  2,   , combine, 28,0.07,   0.000,"[1,1 2,2,3,3,3 4,4,4,4,5,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[3 4,19,16,24,23,26,4,13,20,4,3,27,2,4,15,29,14,22,25,28,5,30,1 2,18,1,17,21,3]"
 30, 4,19,  4,  2,   ,combineS, 28,0.07,   0.000,"[1,1 2,2,3,3,3 4,4,4,4,5,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[3 4,19,16,24,23,26,4,13,20,4,3,27,2,4,15,29,14,22,25,28,5,30,1 2,18,1,17,21,3]"
 30, 4,19,  4,  2,   ,  greedy, 28,0.07,   0.003,"[1,1 2,2,3,3,3 4,4,4,4,5,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[3 4,19,16,24,23,26,4,13,20,4,3,27,2,4,15,29,14,22,25,28,5,30,1 2,18,1,17,21,3]"
 30, 4,19,  4,  2,  0,     pso, 28,0.07,   0.142,"[1,1 2,2,3,3,3 4,4,4,4,5,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[3 4,19,16,24,23,26,4,13,20,4,3,27,2,4,15,29,14,22,25,28,5,30,1 2,18,1,17,21,3]"
 30, 4,19,  4,  2,   ,     FPT, 28,0.07,   0.013,"",""
 30, 2,26,  2,  0,   , combine, 30,0.00,   0.000,"[1,1,2,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[14,4,22,16,2,23,10,18,25,12,27,30,8,29,9,19,15,28,5,26,3,11,20,1,17,2,24,13,21,1]"
 30, 2,26,  2,  0,   ,combineS, 30,0.00,   0.000,"[1,1,2,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[14,4,22,16,2,23,10,18,25,12,27,30,8,29,9,19,15,28,5,26,3,11,20,1,17,2,24,13,21,1]"
 30, 2,26,  2,  0,   ,  greedy, 30,0.00,   0.002,"[1,1,2,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[14,4,22,16,2,23,10,18,25,12,27,30,8,29,9,19,15,28,5,26,3,11,20,1,17,2,24,13,21,1]"
 30, 2,26,  2,  0,  0,     pso, 30,0.00,   0.018,"[1,1,2,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[14,4,22,16,2,23,10,18,25,12,27,30,8,29,9,19,15,28,5,26,3,11,20,1,17,2,24,13,21,1]"
 30, 2,26,  2,  0,   ,     FPT, 30,0.00,   0.000,"",""
 30, 4,18,  4,  7,   , combine, 27,0.10,   0.000,"[1,2,2,3 3,3,3,4 4,4,4,5,5,14,15,16,17,18,19,20,21,22,23,24,25 26,27,28,29,30]","[5,3,16,22,24,4,19,25 26,2,18,30,4,17,20,1,3,28,2,29,23,15,14,3 3,5,27,4 4,21]"
 30, 4,18,  4,  7,   ,combineS, 27,0.10,   0.000,"[1,2,2,3 3,3,3,4 4,4,4,5,5,14,15,16,17,18,19,20,21,22,23,24,25 26,27,28,29,30]","[5,3,16,22,24,4,19,25 26,2,18,30,4,17,20,1,3,28,2,29,23,15,14,3 3,5,27,4 4,21]"
 30, 4,18,  4,  7,   ,  greedy, 27,0.10,   0.002,"[1,2,2,3 3,3,3,4 4,4,4,5,5,14,15,16,17,18,19,20,21,22,23,24,25 26,27,28,29,30]","[5,3,16,22,24,4,19,25 26,2,18,30,4,17,20,1,3,28,2,29,23,15,14,3 3,5,27,4 4,21]"
 30, 4,18,  4,  7,  0,     pso, 27,0.10,   0.731,"[1,2,2,3 3,3,3,4 4,4,4,5,5,14,15,16,17,18,19,20,21,22,23,24,25 26,27,28,29,30]","[5,3,16,22,24,4,19,25 26,2,18,30,4,17,20,1,3,28,2,29,23,15,14,3 3,5,27,4 4,21]"
 30, 4,18,  4,  7,   ,     FPT, 27,0.10,   0.044,"",""
 30, 5,11,  5,  9,   , combine, 27,0.10,   0.000,"[1 1,1,1,1 2,2,3,3,4 4,4,4,4,5,5,5,5,5,20,21,22,23,24,25,26,27,28,29,30]","[25,4,29,5,28,5,1,27,30,1 2,5,24,3,20,2,4,21,5,1,5,22,1 1,4 4,26,3,23,4]"
 30, 5,11,  5,  9,   ,combineS, 27,0.10,   0.000,"[1 1,1,1,1 2,2,3,3,4 4,4,4,4,5,5,5,5,5,20,21,22,23,24,25,26,27,28,29,30]","[25,4,29,5,28,5,1,27,30,1 2,5,24,3,20,2,4,21,5,1,5,22,1 1,4 4,26,3,23,4]"
 30, 5,11,  5,  9,   ,  greedy, 27,0.10,   0.002,"[1 1,1,1,1 2,2,3,3,4 4,4,4,4,5,5,5,5,5,20,21,22,23,24,25,26,27,28,29,30]","[25,4,29,5,28,5,1,27,30,1 2,5,24,3,20,2,4,21,5,1,5,22,1 1,4 4,26,3,23,4]"
 30, 5,11,  5,  9,  0,     pso, 27,0.10,   0.856,"[1 1,1,1,1 2,2,3,3,4 4,4,4,4,5,5,5,5,5,20,21,22,23,24,25,26,27,28,29,30]","[25,4,29,5,28,5,1,27,30,1 2,5,24,3,20,2,4,21,5,1,5,22,1 1,4 4,26,3,23,4]"
 30, 5,11,  5,  9,   ,     FPT, 27,0.10,  51.899,"",""
 30, 4,16,  4,  9,   , combine, 27,0.10,   0.000,"[1,1,1,1,2,2,2,3,4 4 4,4,5,5,5,16,17,18,19,20,21,22,23,24,25,26,27 28,29,30]","[5,3,5,1,25,22,27 28,1,21,24,29,26,18,16,4,23,2,30,1,4 4 4,1,5,2,19,17,2,20]"
 30, 4,16,  4,  9,   ,combineS, 27,0.10,   0.000,"[1,1,1,1,2,2,2,3,4 4 4,4,5,5,5,16,17,18,19,20,21,22,23,24,25,26,27 28,29,30]","[5,3,5,1,25,22,27 28,1,21,24,29,26,18,16,4,23,2,30,1,4 4 4,1,5,2,19,17,2,20]"
