size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 74, 5,16, 16,100,   ,  greedy, 51,0.32,   0.015,"[6,1 0,2,7,0,3 0,4 2,2,15,0,3,1,1,8,4,0 4 4,0,3 0 2 2,3 1,17,4,5,0 0,13,11,3 3,1 3,3,2 0,20,2,4 0,4,9,3 4 3,18,4,3 16,4,12,0,19,14,1 1 2,1,3 3,3,1 1,10,3 2 3,1]","[14,4,1 1,5,1,1 0,9,18,1,1 1 2,3,4,4 2,3 4 3,3 0,0,2 0,1 3,12,3 0 2 2,4 0,3 2 3,17,7,4,3 3,0 0,0 4 4,1,0,13,3,10,3,2,2,3 16,15,1,0,11,4,2,8,20,4,19,3 3,6,3 1,0]"
 74, 5,16, 16,100,  1,    pso1, 50,0.33,  28.471,"[6,1 0,2,7,0 3,0,4 2,2,15,0,3,1 1,8,4,0 4 4,0,3 0 2,2 3,1,17,4,5,0 0,13,11,3 3,1 3,3,2 0,20,2 4,0,4,9,3 4 3,18,4,3 16,4,12,0,19,14,1 1 2,1,3,3 3,1 1,10 3 2,3 1]","[14,4,1 1,5,1 1,0,9,18,1,1 1 2,3,4,4,2,3 4 3,3,0,0,2 0,1 3,12,3 0 2,2 4,0 3,2 3,17,7,4,3 3,0 0,0 4 4,1,0,13,3,10 3 2,2,3 16,15,1 0,11,4 2,8,20,4,19,3 3,6,3 1,0]"
 74, 5,16, 16,100,  3,    psoN, 50,0.33,  93.796,"[6,1,0 2,7,0,3 0,4 2,2,15,0,3,1 1,8,4,0 4 4,0,3 0 2 2,3 1,17,4,5,0 0,13,11,3 3,1 3,3 2,0,20,2,4 0,4,9,3 4 3,18,4,3 16,4,12,0,19,14,1 1 2,1,3 3,3,1 1,10,3 2 3,1]","[14,4,1 1,5,1 1,0,9,18,1,1 1 2,3,4,4 2,3 4 3,3 0,0 2,0,1 3,12,3 0 2 2,4 0,3 2 3,17,7,4,3 3,0 0,0 4 4,1,0,13,3,10,3 2,2,3 16,15,1,0,11,4,2,8,20,4,19,3 3,6,3 1,0]"
 67,10,24,  7, 18,   , combine, 54,0.20,   0.001,"[5,15,16,6,5,6 8,7,0 8,7,9 3,8,17,6,27,25,28,10,4,21,5 5,30,1,9 19,26,32 9,1 7,11 4,3,0,9,33,23,31,6,0 20,13,29,12,8 9,18,1,0,4,4,8 0,8 5,22,5,5,14 2,24,2,3,8]","[0 20,0,26,5 5,4,8 9,13,23,8,4,1 7,32 9,18,8,12,10,22,21,30,5,8 0,33,6,9 3,5,4,6 8,31,14 2,29,16,2,1,15,5,0,5,27,17,8 5,0 8,3,11 4,6,9,6,1,7,25,7,28,3,9 19,24]"
 67,10,24,  7, 18,   ,combineS, 54,0.20,   0.001,"[5,15,16,6,5,6 8,7,0 8,7,9 3,8,17,6,27,25,28,10,4,21,5 5,30,1,9 19,26,32 9,1 7,11 4,3,0,9,33,23,31,6,0 20,13,29,12,8 9,18,1,0,4,4,8 0,8 5,22,5,5,14 2,24,2,3,8]","[0 20,0,26,5 5,4,8 9,13,23,8,4,1 7,32 9,18,8,12,10,22,21,30,5,8 0,33,6,9 3,5,4,6 8,31,14 2,29,16,2,1,15,5,0,5,27,17,8 5,0 8,3,11 4,6,9,6,1,7,25,7,28,3,9 19,24]"
 67,10,24,  7, 18,   ,  greedy, 54,0.20,   0.016,"[5,15,16,6,5,6 8,7,0 8,7,9 3,8,17,6,27,25,28,10,4,21,5 5,30,1,9 19,26,32 9,1 7,11 4,3,0,9,33,23,31,6,0 20,13,29,12,8 9,18,1,0,4,4,8 0,8 5,22,5,5,14 2,24,2,3,8]","[0 20,0,26,5 5,4,8 9,13,23,8,4,1 7,32 9,18,8,12,10,22,21,30,5,8 0,33,6,9 3,5,4,6 8,31,14 2,29,16,2,1,15,5,0,5,27,17,8 5,0 8,3,11 4,6,9,6,1,7,25,7,28,3,9 19,24]"
 67,10,24,  7, 18,  0,    pso1, 54,0.20,   4.400,"[5,15,16,6,5,6 8,7,0 8,7,9 3,8,17,6,27,25,28,10,4,21,5 5,30,1,9 19,26,32 9,1 7,11 4,3,0,9,33,23,31,6,0 20,13,29,12,8 9,18,1,0,4,4,8 0,8 5,22,5,5,14 2,24,2,3,8]","[0 20,0,26,5 5,4,8 9,13,23,8,4,1 7,32 9,18,8,12,10,22,21,30,5,8 0,33,6,9 3,5,4,6 8,31,14 2,29,16,2,1,15,5,0,5,27,17,8 5,0 8,3,11 4,6,9,6,1,7,25,7,28,3,9 19,24]"
 67,10,24,  7, 18,  0,    psoN, 54,0.20,   5.056,"[5,15,16,6,5,6 8,7,0 8,7,9 3,8,17,6,27,25,28,10,4,21,5 5,30,1,9 19,26,32 9,1 7,11 4,3,0,9,33,23,31,6,0 20,13,29,12,8 9,18,1,0,4,4,8 0,8 5,22,5,5,14 2,24,2,3,8]","[0 20,0,26,5 5,4,8 9,13,23,8,4,1 7,32 9,18,8,12,10,22,21,30,5,8 0,33,6,9 3,5,4,6 8,31,14 2,29,16,2,1,15,5,0,5,27,17,8 5,0 8,3,11 4,6,9,6,1,7,25,7,28,3,9 19,24]"
 73, 5, 5, 17,257,   , combine, 44,0.40,   0.001,"[2 4,1 0,4 0,3 4,3 1 3,6 0,3,2 1 2,0 4 3,3 0,0 3,4 3,4 4,3 0 2,3 4 2,9,0 2,7,5,4,0 0,2 3,1 3,1,3,0 4,1 2,0,1,3 4,0 4 3,4,2,2,0,8,2,0,4,0,4,4 3,0,4]","[3 0 2,5,0 4 3,2 4,4,9,8,0 0,0 3,3 4 2,4 0,0,3 0,3,4 3,6 0,4,2 1 2,4,1 3,0,4 4,2,0 4,2,4 3,3 4,0 2,3 4,1 0,0,2 3,7,4,3 1 3,0 4 3,1,0,2,4,1 2,3,1,0]"
 73, 5, 5, 17,257,   ,combineS, 44,0.40,   0.001,"[2 4,1 0,4 0,3 4,3 1,3 6 0,3,2 1 2,0 4 3,3 0,0 3,4 3,4 4,3 0 2,3 4 2,9,0 2,7,5,4,0 0,2 3,1 3,1,3 0 4,1 2,0,1,3 4,0 4,3 4,2,2,0,8,2,0,4,0,4,4,3,0,4]","[3 0 2,5,0 4 3,2 4,4,9,8,0 0,0 3,3 4 2,4 0,0,3 0,3 4,3 6 0,4,2 1 2,4,1 3,0,4 4,2,0 4,2,4 3,3 4,0 2,3 4,1 0,0,2 3,7,4,3 1,3 0 4,3,1,0,2,4,1 2,3,1,0]"
 73, 5, 5, 17,257,   ,  greedy, 40,0.46,   0.010,"[2 4 1,0 4,0 3 4 3,1,3,6,0 3,2 1 2,0,4 3 3,0 0 3,4 3,4,4,3,0 2 3 4,2,9,0 2,7,5,4,0 0 2 3,1,3 1 3 0 4,1,2,0,1,3,4 0,4,3 4 2,2,0,8,2 0 4,0,4 4,3 0 4]","[3,0 2,5,0,4 3,2,4 4,9,8,0,0 0 3,3 4 2,4 0,0 3,0 3 4 3,6,0 4,2 1 2,4,1,3 0 4,4,2 0 4,2,4 3 3,4,0 2 3 4,1,0 0 2 3,7,4,3 1 3 0 4,3,1,0,2 4 1,2,3,1,0]"
 73, 5, 5, 17,257,  1,    pso1, 39,0.47,  75.020,"[2 4 1,0 4,0 3 4 3,1,3,6,0 3,2 1 2,0,4 3 3,0 0 3,4,3,4 4,3,0 2 3 4,2,9,0 2,7,5,4,0 0 2 3,1,3 1 3 0 4,1,2,0,1 3,4 0,4,3 4 2,2,0,8,2 0 4,0 4 4,3,0 4]","[3,0 2,5,0 4,3,2,4 4,9,8,0,0 0 3,3 4 2,4 0,0 3,0 3 4 3,6,0 4,2 1 2,4,1 3,0 4 4,2 0 4,2,4 3 3,4,0 2 3 4,1,0 0 2 3,7,4,3 1 3 0 4,3,1,0,2 4 1,2,3,1,0]"
 73, 5, 5, 17,257,  1,    psoN, 40,0.46, 486.353,"[2 4 1,0 4,0 3 4 3,1,3,6 0,3,2 1 2,0,4 3 3,0 0 3,4 3,4 4,3 0,2 3 4,2,9,0 2,7,5,4 0 0,2 3 1,3,1 3 0 4,1,2,0,1,3,4 0,4,3 4 2,2,0,8,2 0 4,0,4,4,3 0 4]","[3 0,2,5,0 4,3,2,4 4,9,8,0,0 0 3,3 4 2,4 0 0,3,0 3 4 3,6 0,4,2 1 2,4,1,3 0 4,4,2 0 4,2,4 3 3,4 0,2 3 4,1,0,0 2,3,7,4 3,1 3 0 4,3,1,0,2 4 1,2 3 1,0]"
 58,10,15,  8, 11,   , combine, 51,0.12,   0.000,"[8,1,9 1,0,17,0 8,1,6,18,22,9,6,8,7 0,11,19,7,8 20,3,15,10,3,0,8,14,8,16,7,24,23 4,4,7,13,6,1,1,2,3,8,4,12,5,1 8,21,5,2,9,3,0 6,0,5]","[19,0,0,14,10,16,8,0 8,23 4,2,21,6,4,9 1,8 20,8,24,12,7 0,9,1 8,3,7,1,22,1,8,5,3,6,5,4,6,9,2,7,3,1,17,8,0,15,0 6,13,8,5,18,3,7,1,11]"
 58,10,15,  8, 11,   ,combineS, 51,0.12,   0.001,"[8,1,9 1,0,17,0 8,1,6,18,22,9,6,8,7 0,11,19,7,8 20,3,15,10,3,0,8,14,8,16,7,24,23 4,4,7,13,6,1,1,2,3,8,4,12,5,1 8,21,5,2,9,3,0 6,0,5]","[19,0,0,14,10,16,8,0 8,23 4,2,21,6,4,9 1,8 20,8,24,12,7 0,9,1 8,3,7,1,22,1,8,5,3,6,5,4,6,9,2,7,3,1,17,8,0,15,0 6,13,8,5,18,3,7,1,11]"
 58,10,15,  8, 11,   ,  greedy, 51,0.12,   0.013,"[8,1,9 1,0,17,0 8,1,6,18,22,9,6,8,7 0,11,19,7,8 20,3,15,10,3,0,8,14,8,16,7,24,23 4,4,7,13,6,1,1,2,3,8,4,12,5,1 8,21,5,2,9,3,0 6,0,5]","[19,0,0,14,10,16,8,0 8,23 4,2,21,6,4,9 1,8 20,8,24,12,7 0,9,1 8,3,7,1,22,1,8,5,3,6,5,4,6,9,2,7,3,1,17,8,0,15,0 6,13,8,5,18,3,7,1,11]"
 58,10,15,  8, 11,  0,    pso1, 51,0.12,   1.786,"[8,1,9 1,0,17,0 8,1,6,18,22,9,6,8,7 0,11,19,7,8 20,3,15,10,3,0,8,14,8,16,7,24,23 4,4,7,13,6,1,1,2,3,8,4,12,5,1 8,21,5,2,9,3,0 6,0,5]","[19,0,0,14,10,16,8,0 8,23 4,2,21,6,4,9 1,8 20,8,24,12,7 0,9,1 8,3,7,1,22,1,8,5,3,6,5,4,6,9,2,7,3,1,17,8,0,15,0 6,13,8,5,18,3,7,1,11]"
 58,10,15,  8, 11,  0,    psoN, 51,0.12,   2.152,"[8,1,9 1,0,17,0 8,1,6,18,22,9,6,8,7 0,11,19,7,8 20,3,15,10,3,0,8,14,8,16,7,24,23 4,4,7,13,6,1,1,2,3,8,4,12,5,1 8,21,5,2,9,3,0 6,0,5]","[19,0,0,14,10,16,8,0 8,23 4,2,21,6,4,9 1,8 20,8,24,12,7 0,9,1 8,3,7,1,22,1,8,5,3,6,5,4,6,9,2,7,3,1,17,8,0,15,0 6,13,8,5,18,3,7,1,11]"
 76, 7,26, 11, 29,   , combine, 60,0.21,   0.001,"[1,0 0,14,1,30,6 4,5,1,12,4,25,4,11,17,0 28,6 1,0,4,23,5,0 3,8,3,6,27,0,3 31,2,6 0,10,19,3 0,20,6,29,0,3 4,22,13,15 3,9,1,3,1,0,3 26,4 1,16,32 4,7,3 4,0,24,2 18,2,5,21,6,1 4,5]","[5,14,0 28,5,6,0 3,6,7,12,24,0,9,0,1,20,5,15 3,3 4,3 0,19,1,4 1,4,2 18,3,23,4,0,5,3 4,6,6 4,16,0,1,2,3 26,0 0,30,1 4,17,29,25,2,8,27,1,32 4,13,3,22,10,6 0,0,6 1,21,3 31,11,1,4]"
