size,repeats,singles,heuristic,blocks,score
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,36,0.6464646464646465
100,2,5,greedy,26,0.7474747474747475
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,27,0.7373737373737373
100,2,5,greedy,32,0.6868686868686869
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,27,0.7373737373737373
100,2,5,greedy,33,0.6767676767676768
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,35,0.6565656565656566
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,35,0.6565656565656566
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,34,0.6666666666666666
100,2,5,greedy,26,0.7474747474747475
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,32,0.6868686868686869
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,32,0.6868686868686869
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,27,0.7373737373737373
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,33,0.6767676767676768
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,32,0.6868686868686869
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,26,0.7474747474747475
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,27,0.7373737373737373
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,33,0.6767676767676768
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,26,0.7474747474747475
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,27,0.7373737373737373
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,27,0.7373737373737373
100,2,5,greedy,27,0.7373737373737373
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,29,0.7171717171717171
100,2,5,greedy,28,0.7272727272727273
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,27,0.7373737373737373
100,2,5,greedy,31,0.696969696969697
100,2,5,greedy,33,0.6767676767676768
100,2,5,greedy,30,0.7070707070707071
100,2,5,greedy,30,0.7070707070707071
100,2,60,combine,88,0.12121212121212122
100,2,60,combine,83,0.1717171717171717
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,82,0.18181818181818182
100,2,60,combine,84,0.16161616161616163
100,2,60,combine,89,0.1111111111111111
100,2,60,combine,84,0.16161616161616163
